County,Income
Butte,43165
San Francisco,78378
Colusa,50503
San Luis Obispo,59454
San Joaquin,53253
El Dorado,68507
Sonoma,63799
Sutter,51527
Mariposa,50560
Ventura,77335
Mono,61814
Sacramento,55615
Plumas,48032
Tuolumne,48493
Del Norte,39302
Calaveras,54936
Santa Clara,93854
Tehama,42369
Shasta,44556
Marin,91529
Inyo,45625
Fresno,45201
Santa Barbara,63409
Kern,48574
Lake,35997
Nevada,56949
Glenn,40106
Mendocino,43290
Tulare,42863
Napa,70925
Alpine,61343
Sierra,43107
Trinity,36862
Solano,67341
Madera,45490
Monterey,58582
Contra Costa,79799
Humboldt,42153
San Bernardino,54100
Modoc,38560
Yuba,45470
Santa Cruz,66923
Kings,47341
Siskiyou,37495
Merced,43066
Imperial,41772
Alameda,73775
San Diego,63996
Placer,73747
Stanislaus,49573
Amador,52964
Riverside,56592
San Mateo,91421
Orange,75998
San Benito,67874
Yolo,55508
Lassen,53351
Los Angeles,55870
