County,Population
Calaveras,44921
San Diego,3183143
San Joaquin,701050
Lassen,33356
Solano,421624
Merced,261609
Colusa,21424
Kings,151390
Mono,14193
Riverside,2266899
Madera,152452
Tuolumne,54347
Yolo,204162
Santa Barbara,431555
Ventura,835790
Inyo,18439
Placer,361518
Imperial,177026
Santa Clara,1841569
Kern,857730
Humboldt,134876
Plumas,19286
Modoc,9335
San Luis Obispo,274184
San Bernardino,2078586
Shasta,178520
Sierra,3019
Tulare,451108
Lake,64209
El Dorado,181465
Sutter,95067
Tehama,63284
Contra Costa,1081232
Mariposa,17946
Yuba,73059
Stanislaus,522794
Glenn,28019
Los Angeles,9974203
Alpine,1202
Sonoma,491790
Del Norte,28066
San Francisco,829072
Butte,221578
Trinity,13515
Santa Cruz,267203
San Benito,56888
Nevada,98606
Mendocino,87612
Sacramento,1450277
Fresno,948844
Alameda,1559308
Amador,37159
Napa,139253
Orange,3086331
Siskiyou,44261
Marin,256802
Monterey,424927
San Mateo,739837
